species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.252524	2.790562	0.943101	2.101202	-0.247039	-0.247033	competition	0.3384	4	0.0771
akk_GCF_000020225.1	MGYG000000002	1.252524	1.715172	0.977493	1.338559	-0.219582	-0.219577	competition	0.6548	6	0.1120
akk_GCF_000020225.1	MGYG000000003	1.252524	0.767275	0.899223	0.550847	-0.282071	-0.282074	competition	0.5342	4	0.0904
akk_GCF_000020225.1	MGYG000000004	1.252524	2.436890	1.011049	1.967095	-0.192790	-0.192785	competition	0.9474	4	0.0236
akk_GCF_000020225.1	MGYG000000006	1.252524	2.774962	0.858847	1.902790	-0.314306	-0.314300	competition	0.3642	6	0.0857
akk_GCF_000020225.1	MGYG000000007	1.252524	0.969109	1.214607	0.939772	-0.030272	-0.030272	competition	0.0009	6	0.0332
akk_GCF_000020225.1	MGYG000000008	1.252524	1.077399	1.046485	0.900165	-0.164498	-0.164502	competition	-0.0000	4	0.0218
akk_GCF_000020225.1	MGYG000000009	1.252524	2.007947	0.854415	1.369740	-0.317845	-0.317840	competition	1.0000	4	0.2054
akk_GCF_000020225.1	MGYG000000010	1.252524	1.986865	0.889831	1.411539	-0.289569	-0.289565	competition	0.6949	5	0.0235
akk_GCF_000020225.1	MGYG000000011	1.252524	2.760526	0.861898	1.899615	-0.311870	-0.311865	competition	0.9186	6	0.0623
akk_GCF_000020225.1	MGYG000000012	1.252524	2.707743	0.912658	1.973027	-0.271345	-0.271339	competition	0.8947	7	0.0738
akk_GCF_000020225.1	MGYG000000013	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.252524	2.920251	0.873907	2.037527	-0.302283	-0.302277	competition	0.6617	7	0.0477
akk_GCF_000020225.1	MGYG000000015	1.252524	3.249870	0.926307	2.403469	-0.260448	-0.260441	competition	0.9600	7	0.0556
akk_GCF_000020225.1	MGYG000000016	1.252524	1.161959	0.924633	0.857778	-0.261784	-0.261783	competition	-0.0000	1	0.1485
akk_GCF_000020225.1	MGYG000000017	1.252524	1.983565	0.911694	1.443818	-0.272115	-0.272110	competition	0.9513	2	0.0468
akk_GCF_000020225.1	MGYG000000018	1.252524	1.364533	1.071000	1.166780	-0.144926	-0.144923	competition	0.1674	7	0.1333
akk_GCF_000020225.1	MGYG000000019	1.252524	3.008035	0.979255	2.351777	-0.218174	-0.218168	competition	0.9933	7	0.0349
akk_GCF_000020225.1	MGYG000000020	1.252524	1.120877	0.994893	0.890321	-0.205689	-0.205692	competition	0.3478	6	0.0236
akk_GCF_000020225.1	MGYG000000021	1.252524	0.688151	1.056499	0.580451	-0.156503	-0.156507	competition	0.0830	8	0.0191
akk_GCF_000020225.1	MGYG000000022	1.252524	1.777499	0.975995	1.385076	-0.220777	-0.220773	competition	0.9162	8	0.2117
akk_GCF_000020225.1	MGYG000000023	1.252524	1.916900	0.872834	1.335820	-0.303139	-0.303135	competition	NaN	1	0.4730
akk_GCF_000020225.1	MGYG000000024	1.252524	3.266950	0.917537	2.393228	-0.267449	-0.267443	competition	0.7644	9	0.0384
akk_GCF_000020225.1	MGYG000000025	1.252524	2.613176	0.899650	1.876981	-0.281730	-0.281724	competition	0.5725	7	0.0527
akk_GCF_000020225.1	MGYG000000026	1.252524	1.724824	0.918609	1.265004	-0.266594	-0.266590	competition	1.0000	1	0.4672
akk_GCF_000020225.1	MGYG000000027	1.252524	2.276100	0.990303	1.799602	-0.209354	-0.209348	competition	0.8538	9	0.0677
akk_GCF_000020225.1	MGYG000000028	1.252524	2.119024	0.930188	1.573706	-0.257349	-0.257344	competition	NaN	0	0.3933
akk_GCF_000020225.1	MGYG000000029	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	1.252524	1.553976	1.102079	1.367328	-0.120113	-0.120110	competition	0.0000	4	0.2649
akk_GCF_000020225.1	MGYG000000031	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	1.252524	1.255357	0.992140	0.994388	-0.207887	-0.207885	competition	0.0008	3	0.3414
akk_GCF_000020225.1	MGYG000000034	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	1.252524	2.992963	0.890388	2.127643	-0.289124	-0.289118	competition	0.8814	5	0.0495
akk_GCF_000020225.1	MGYG000000036	1.252524	0.709562	1.006920	0.570424	-0.196087	-0.196090	competition	0.1043	4	0.1962
akk_GCF_000020225.1	MGYG000000037	1.252524	2.413740	0.921307	1.775464	-0.264440	-0.264434	competition	0.0471	5	0.0592
akk_GCF_000020225.1	MGYG000000038	1.252524	2.387465	0.867660	1.653879	-0.307271	-0.307265	competition	0.0030	4	0.1189
akk_GCF_000020225.1	MGYG000000039	1.252524	2.061939	0.949072	1.562399	-0.242272	-0.242267	competition	0.0160	5	0.1975
akk_GCF_000020225.1	MGYG000000040	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	1.252524	2.103183	0.958977	1.610283	-0.234364	-0.234359	competition	0.0025	4	0.1879
akk_GCF_000020225.1	MGYG000000042	1.252524	1.881649	0.794754	1.193957	-0.365478	-0.365473	competition	0.5488	7	0.1164
akk_GCF_000020225.1	MGYG000000043	1.252524	2.032749	0.816723	1.325488	-0.347938	-0.347933	competition	0.5534	7	0.0786
akk_GCF_000020225.1	MGYG000000044	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000045	1.252524	1.679672	0.896851	1.202712	-0.283964	-0.283961	competition	0.3878	2	0.3416
akk_GCF_000020225.1	MGYG000000046	1.252524	1.596916	0.881466	1.123839	-0.296248	-0.296244	competition	0.6696	9	0.0225
akk_GCF_000020225.1	MGYG000000047	1.252524	3.040983	1.000032	2.427981	-0.201586	-0.201580	competition	0.0246	7	0.0133
akk_GCF_000020225.1	MGYG000000048	1.252524	1.625314	0.999697	1.297244	-0.201854	-0.201850	competition	0.2882	3	0.1604
akk_GCF_000020225.1	MGYG000000049	1.252524	3.180900	0.930640	2.363468	-0.256988	-0.256981	competition	0.8319	5	0.0446
akk_GCF_000020225.1	MGYG000000050	1.252524	1.644076	1.008761	1.324117	-0.194617	-0.194613	competition	0.5180	6	0.1008
akk_GCF_000020225.1	MGYG000000051	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000052	1.252524	2.506897	0.944441	1.890292	-0.245969	-0.245964	competition	0.2613	7	0.0192
akk_GCF_000020225.1	MGYG000000053	1.252524	0.603941	0.964387	0.465004	-0.230045	-0.230051	competition	0.0648	7	0.0437
akk_GCF_000020225.1	MGYG000000054	1.252524	2.708542	0.894312	1.933937	-0.285992	-0.285986	competition	0.5596	7	0.0205
akk_GCF_000020225.1	MGYG000000055	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000056	1.252524	0.971192	0.904324	0.701202	-0.277999	-0.277998	competition	0.0648	4	0.0120
akk_GCF_000020225.1	MGYG000000057	1.252524	2.048744	0.818400	1.338661	-0.346599	-0.346594	competition	0.4992	6	0.0917
akk_GCF_000020225.1	MGYG000000058	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000059	1.252524	0.989840	0.993346	0.785019	-0.206924	-0.206924	competition	0.2933	7	0.0453
akk_GCF_000020225.1	MGYG000000060	1.252524	1.565129	0.880837	1.100682	-0.296750	-0.296747	competition	-0.0000	1	0.3567
akk_GCF_000020225.1	MGYG000000061	1.252524	1.138900	0.955153	0.868508	-0.237417	-0.237415	competition	0.0000	3	0.0402
akk_GCF_000020225.1	MGYG000000062	1.252524	1.604809	1.119407	1.434258	-0.106279	-0.106275	competition	0.3281	6	0.0451
akk_GCF_000020225.1	MGYG000000063	1.252524	0.973396	1.211205	0.941286	-0.032988	-0.032987	competition	0.5167	5	0.0112
akk_GCF_000020225.1	MGYG000000064	1.252524	2.117151	0.889092	1.502851	-0.290159	-0.290154	competition	-0.0000	3	0.2191
akk_GCF_000020225.1	MGYG000000065	1.252524	2.181901	0.933137	1.625539	-0.254995	-0.254990	competition	0.9548	5	0.2541
akk_GCF_000020225.1	MGYG000000067	1.252524	1.985185	0.875937	1.388324	-0.300662	-0.300658	competition	0.0068	5	0.1081
akk_GCF_000020225.1	MGYG000000068	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000069	1.252524	1.740551	1.112480	1.545948	-0.111809	-0.111805	competition	0.0000	5	0.1678
akk_GCF_000020225.1	MGYG000000070	1.252524	1.503130	0.977903	1.173568	-0.219254	-0.219251	competition	0.8005	7	0.0411
akk_GCF_000020225.1	MGYG000000071	1.252524	2.445944	0.984782	1.923109	-0.213762	-0.213756	competition	0.3126	6	0.0560
akk_GCF_000020225.1	MGYG000000072	1.252524	1.208192	1.187815	1.145776	-0.051663	-0.051661	competition	0.0127	4	0.0654
akk_GCF_000020225.1	MGYG000000073	1.252524	1.674882	1.113555	1.489058	-0.110951	-0.110947	competition	0.0002	7	0.0406
akk_GCF_000020225.1	MGYG000000074	1.252524	0.999141	0.951163	0.758745	-0.240603	-0.240603	competition	0.9890	4	0.0213
akk_GCF_000020225.1	MGYG000000075	1.252524	2.796431	0.869214	1.940657	-0.306030	-0.306024	competition	0.6297	7	0.0874
akk_GCF_000020225.1	MGYG000000076	1.252524	2.022971	0.937703	1.514509	-0.251349	-0.251344	competition	0.9694	5	0.2187
akk_GCF_000020225.1	MGYG000000077	1.252524	1.121214	1.058282	0.947338	-0.155080	-0.155078	competition	0.7071	7	0.0423
akk_GCF_000020225.1	MGYG000000078	1.252524	1.001525	0.955876	0.764324	-0.236840	-0.236839	competition	0.8162	5	0.0817
akk_GCF_000020225.1	MGYG000000079	1.252524	2.284742	0.879832	1.604923	-0.297552	-0.297547	competition	-0.0000	6	0.0807
akk_GCF_000020225.1	MGYG000000080	1.252524	2.159902	0.908725	1.567053	-0.274485	-0.274480	competition	0.2151	7	0.0227
akk_GCF_000020225.1	MGYG000000081	1.252524	1.089394	0.942631	0.819859	-0.247414	-0.247417	competition	0.4386	4	0.0451
akk_GCF_000020225.1	MGYG000000082	1.252524	0.642744	1.032846	0.530012	-0.175388	-0.175392	competition	0.4273	5	0.0587
akk_GCF_000020225.1	MGYG000000083	1.252524	2.133822	0.932287	1.588271	-0.255673	-0.255668	competition	0.8941	7	0.0203
akk_GCF_000020225.1	MGYG000000084	1.252524	1.973635	0.977873	1.540869	-0.219278	-0.219273	competition	0.8096	5	0.1683
akk_GCF_000020225.1	MGYG000000085	1.252524	2.001303	0.913009	1.458831	-0.271064	-0.271059	competition	0.8645	3	0.1115
akk_GCF_000020225.1	MGYG000000086	1.252524	1.449735	0.973713	1.127030	-0.222599	-0.222596	competition	0.6678	6	0.0642
akk_GCF_000020225.1	MGYG000000087	1.252524	1.611864	0.973011	1.252168	-0.223159	-0.223155	competition	0.7028	6	0.0626
akk_GCF_000020225.1	MGYG000000088	1.252524	1.538988	0.895694	1.100553	-0.284889	-0.284885	competition	0.9990	4	0.2822
akk_GCF_000020225.1	MGYG000000089	1.252524	0.929886	1.079849	0.801691	-0.137861	-0.137861	competition	0.0679	4	0.0647
akk_GCF_000020225.1	MGYG000000090	1.252524	1.098616	1.085588	0.952194	-0.133280	-0.133278	competition	0.9739	6	0.0721
akk_GCF_000020225.1	MGYG000000091	1.252524	1.107944	0.954322	0.844165	-0.238081	-0.238080	competition	0.8732	5	0.1615
akk_GCF_000020225.1	MGYG000000092	1.252524	2.191475	0.887691	1.553157	-0.291278	-0.291273	competition	0.1857	8	0.0636
akk_GCF_000020225.1	MGYG000000093	1.252524	3.446431	0.897461	2.469465	-0.283478	-0.283472	competition	0.9645	5	0.0356
akk_GCF_000020225.1	MGYG000000094	1.252524	1.450662	0.919825	1.065337	-0.265623	-0.265620	competition	0.0000	2	0.2736
akk_GCF_000020225.1	MGYG000000096	1.252524	1.601198	0.939159	1.200605	-0.250187	-0.250183	competition	0.1348	7	0.0408
akk_GCF_000020225.1	MGYG000000097	1.252524	1.908312	0.880122	1.340939	-0.297321	-0.297317	competition	1.0000	4	0.2378
akk_GCF_000020225.1	MGYG000000098	1.252524	1.864894	1.038772	1.546645	-0.170657	-0.170653	competition	0.3029	8	0.0218
akk_GCF_000020225.1	MGYG000000099	1.252524	1.605385	1.104242	1.415336	-0.118386	-0.118382	competition	0.9940	6	0.0120
akk_GCF_000020225.1	MGYG000000100	1.252524	1.147671	1.154747	1.058081	-0.078064	-0.078062	competition	0.9848	8	0.0134
akk_GCF_000020225.1	MGYG000000101	1.252524	0.805174	0.970046	0.623581	-0.225527	-0.225533	competition	0.2760	7	0.0401
akk_GCF_000020225.1	MGYG000000102	1.252524	3.003915	0.921071	2.209014	-0.264628	-0.264621	competition	0.6235	7	0.0419
akk_GCF_000020225.1	MGYG000000103	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000104	1.252524	2.042530	0.920381	1.500905	-0.265178	-0.265174	competition	0.3869	4	0.1761
akk_GCF_000020225.1	MGYG000000105	1.252524	2.537855	0.871716	1.766280	-0.304032	-0.304026	competition	0.6956	6	0.0112
akk_GCF_000020225.1	MGYG000000106	1.252524	1.760391	0.854952	1.201621	-0.317416	-0.317412	competition	1.0000	1	0.2805
akk_GCF_000020225.1	MGYG000000107	1.252524	3.446700	0.897564	2.469942	-0.283396	-0.283389	competition	0.9634	5	0.0366
akk_GCF_000020225.1	MGYG000000108	1.252524	3.584449	0.913378	2.613911	-0.270770	-0.270764	competition	0.9171	8	0.0268
akk_GCF_000020225.1	MGYG000000109	1.252524	1.283451	0.991180	1.015652	-0.208653	-0.208655	competition	0.0000	2	0.0679
akk_GCF_000020225.1	MGYG000000110	1.252524	3.034058	0.965548	2.338918	-0.229118	-0.229112	competition	0.9502	7	0.0691
akk_GCF_000020225.1	MGYG000000111	1.252524	2.502148	0.829294	1.656683	-0.337901	-0.337896	competition	0.5691	6	0.1256
akk_GCF_000020225.1	MGYG000000112	1.252524	1.915016	0.844506	1.291196	-0.325756	-0.325752	competition	0.2813	3	0.1270
akk_GCF_000020225.1	MGYG000000113	1.252524	1.667734	0.880455	1.172332	-0.297055	-0.297051	competition	1.0000	2	0.2766
akk_GCF_000020225.1	MGYG000000114	1.252524	1.292134	0.991085	1.022425	-0.208729	-0.208731	competition	0.0000	2	0.0649
akk_GCF_000020225.1	MGYG000000115	1.252524	1.367527	1.199863	1.310035	-0.042043	-0.042040	competition	0.9681	6	0.0197
akk_GCF_000020225.1	MGYG000000116	1.252524	2.154438	0.907375	1.560766	-0.275563	-0.275558	competition	0.7999	5	0.0552
akk_GCF_000020225.1	MGYG000000117	1.252524	1.330955	1.012710	1.076128	-0.191464	-0.191461	competition	0.6550	9	0.0175
akk_GCF_000020225.1	MGYG000000118	1.252524	1.042471	0.990627	0.824497	-0.209095	-0.209094	competition	0.8744	6	0.0991
akk_GCF_000020225.1	MGYG000000119	1.252524	2.363700	0.869317	1.640545	-0.305948	-0.305942	competition	0.7224	7	0.0867
akk_GCF_000020225.1	MGYG000000120	1.252524	0.409720	1.152654	0.377046	-0.079735	-0.079746	competition	0.7447	6	0.0365
akk_GCF_000020225.1	MGYG000000121	1.252524	2.633912	0.896214	1.884649	-0.284473	-0.284468	competition	0.0010	5	0.0161
akk_GCF_000020225.1	MGYG000000122	1.252524	2.330062	0.899043	1.672496	-0.282215	-0.282210	competition	0.8063	7	0.1387
akk_GCF_000020225.1	MGYG000000123	1.252524	3.069826	0.986260	2.417256	-0.212582	-0.212576	competition	0.9274	5	0.0466
akk_GCF_000020225.1	MGYG000000124	1.252524	3.511520	0.902245	2.529517	-0.279658	-0.279652	competition	0.9541	7	0.0287
akk_GCF_000020225.1	MGYG000000125	1.252524	1.406898	0.974530	1.094645	-0.221947	-0.221944	competition	0.8166	10	0.0110
akk_GCF_000020225.1	MGYG000000126	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000127	1.252524	3.302768	0.945490	2.493174	-0.245132	-0.245126	competition	0.9678	8	0.0066
akk_GCF_000020225.1	MGYG000000128	1.252524	0.612898	1.327774	0.649717	0.060079	0.060074	mutualism	1.0000	3	0.0170
akk_GCF_000020225.1	MGYG000000129	1.252524	0.396615	1.249030	0.395504	-0.002790	-0.002801	competition	0.0016	6	0.0259
akk_GCF_000020225.1	MGYG000000130	1.252524	0.263686	1.180803	0.248581	-0.057261	-0.057283	competition	0.4385	6	0.0150
akk_GCF_000020225.1	MGYG000000131	1.252524	1.535589	1.076993	1.320395	-0.140141	-0.140138	competition	0.7955	5	0.0387
akk_GCF_000020225.1	MGYG000000132	1.252524	1.843455	1.072379	1.578328	-0.143825	-0.143821	competition	0.0161	6	0.0419
akk_GCF_000020225.1	MGYG000000133	1.252524	2.793891	0.968018	2.159288	-0.227146	-0.227139	competition	0.5521	6	0.0466
akk_GCF_000020225.1	MGYG000000134	1.252524	2.070637	0.945726	1.563458	-0.244943	-0.244939	competition	0.0039	6	0.0619
akk_GCF_000020225.1	MGYG000000135	1.252524	2.294557	0.883784	1.619059	-0.294397	-0.294392	competition	0.4986	7	0.0872
akk_GCF_000020225.1	MGYG000000136	1.252524	1.728991	1.018856	1.406442	-0.186557	-0.186553	competition	0.5985	5	0.2249
akk_GCF_000020225.1	MGYG000000137	1.252524	2.226765	0.929783	1.653002	-0.257672	-0.257667	competition	0.5997	7	0.0761
akk_GCF_000020225.1	MGYG000000138	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000139	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000140	1.252524	1.811340	0.927282	1.340999	-0.259669	-0.259665	competition	0.3141	4	0.1720
akk_GCF_000020225.1	MGYG000000141	1.252524	2.085490	0.897040	1.493610	-0.283814	-0.283809	competition	0.1830	9	0.0747
akk_GCF_000020225.1	MGYG000000142	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000143	1.252524	2.660163	1.007013	2.138754	-0.196012	-0.196006	competition	0.5345	6	0.0523
akk_GCF_000020225.1	MGYG000000144	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000145	1.252524	3.018088	0.976339	2.352611	-0.220503	-0.220496	competition	0.7978	6	0.0552
akk_GCF_000020225.1	MGYG000000146	1.252524	1.873093	0.942235	1.409079	-0.247730	-0.247726	competition	0.5029	5	0.0706
akk_GCF_000020225.1	MGYG000000147	1.252524	2.802884	0.870662	1.948375	-0.304874	-0.304868	competition	0.6945	8	0.0617
akk_GCF_000020225.1	MGYG000000148	1.252524	2.823504	0.988429	2.228186	-0.210850	-0.210844	competition	0.7912	6	0.0475
akk_GCF_000020225.1	MGYG000000149	1.252524	2.352522	0.863246	1.621384	-0.310794	-0.310789	competition	0.1485	4	0.1857
akk_GCF_000020225.1	MGYG000000151	1.252524	1.975437	0.913635	1.440963	-0.270564	-0.270560	competition	1.0000	2	0.2849
akk_GCF_000020225.1	MGYG000000152	1.252524	3.184200	0.952389	2.421210	-0.239624	-0.239618	competition	0.0057	6	0.0116
akk_GCF_000020225.1	MGYG000000153	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000154	1.252524	1.817590	1.052537	1.527389	-0.159667	-0.159663	competition	0.1229	7	0.2269
akk_GCF_000020225.1	MGYG000000155	1.252524	1.550302	0.980225	1.213265	-0.217400	-0.217401	competition	0.0495	7	0.0694
akk_GCF_000020225.1	MGYG000000156	1.252524	1.397180	0.896622	1.000178	-0.284148	-0.284145	competition	0.0000	2	0.2946
akk_GCF_000020225.1	MGYG000000157	1.252524	2.912796	0.883132	2.053778	-0.294918	-0.294912	competition	0.8322	6	0.0365
akk_GCF_000020225.1	MGYG000000158	1.252524	1.171658	0.975844	0.912844	-0.220898	-0.220896	competition	0.0000	2	0.0542
akk_GCF_000020225.1	MGYG000000159	1.252524	2.057893	0.917339	1.507195	-0.267608	-0.267603	competition	0.9919	6	0.0567
akk_GCF_000020225.1	MGYG000000160	1.252524	1.297948	0.861557	0.892806	-0.312143	-0.312141	competition	-0.0000	2	0.2371
akk_GCF_000020225.1	MGYG000000161	1.252524	1.067172	1.071178	0.912659	-0.144784	-0.144787	competition	0.0013	6	0.0199
akk_GCF_000020225.1	MGYG000000163	1.252524	1.748702	0.883549	1.233568	-0.294585	-0.294581	competition	0.8308	6	0.0645
akk_GCF_000020225.1	MGYG000000164	1.252524	1.640374	1.068969	1.399987	-0.146548	-0.146544	competition	0.7408	7	0.0160
akk_GCF_000020225.1	MGYG000000165	1.252524	2.319533	0.981251	1.817178	-0.216581	-0.216576	competition	0.0200	7	0.0129
akk_GCF_000020225.1	MGYG000000166	1.252524	0.469445	1.128466	0.422942	-0.099046	-0.099061	competition	0.0292	9	0.0174
akk_GCF_000020225.1	MGYG000000167	1.252524	1.146745	0.954566	0.873952	-0.237886	-0.237884	competition	0.0000	2	0.0405
akk_GCF_000020225.1	MGYG000000168	1.252524	2.042953	1.078713	1.759465	-0.138769	-0.138764	competition	0.9900	9	0.0329
akk_GCF_000020225.1	MGYG000000169	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000170	1.252524	0.739427	0.976866	0.576691	-0.220082	-0.220085	competition	0.4918	6	0.0338
akk_GCF_000020225.1	MGYG000000171	1.252524	2.306215	0.885915	1.631209	-0.292696	-0.292690	competition	0.8929	8	0.0474
akk_GCF_000020225.1	MGYG000000173	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000174	1.252524	2.276100	1.200639	2.181827	-0.041424	-0.041419	competition	0.9809	8	0.0405
akk_GCF_000020225.1	MGYG000000175	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000176	1.252524	3.324773	0.901100	2.391956	-0.280572	-0.280566	competition	0.7689	6	0.0477
akk_GCF_000020225.1	MGYG000000177	1.252524	0.561834	0.948038	0.425250	-0.243098	-0.243104	competition	NaN	0	0.1041
akk_GCF_000020225.1	MGYG000000178	1.252524	2.035052	0.924157	1.501544	-0.262164	-0.262159	competition	0.7781	7	0.0483
akk_GCF_000020225.1	MGYG000000180	1.252524	1.081441	1.003622	0.866534	-0.198720	-0.198723	competition	0.0000	3	0.0418
akk_GCF_000020225.1	MGYG000000181	1.252524	1.497919	0.944956	1.130097	-0.245558	-0.245555	competition	0.0000	3	0.1119
akk_GCF_000020225.1	MGYG000000182	1.252524	2.276100	0.913154	1.659406	-0.270949	-0.270943	competition	0.8031	7	0.0558
akk_GCF_000020225.1	MGYG000000183	1.252524	1.709461	1.143558	1.560750	-0.086997	-0.086993	competition	0.9596	9	0.0227
akk_GCF_000020225.1	MGYG000000184	1.252524	2.506707	0.898632	1.798470	-0.282542	-0.282537	competition	0.0957	7	0.0757
akk_GCF_000020225.1	MGYG000000186	1.252524	1.807444	0.920592	1.328461	-0.265010	-0.265006	competition	0.5605	7	0.1179
akk_GCF_000020225.1	MGYG000000187	1.252524	1.502465	0.891665	1.069602	-0.288106	-0.288102	competition	0.3492	3	0.4395
akk_GCF_000020225.1	MGYG000000188	1.252524	1.930088	0.917238	1.413435	-0.267688	-0.267684	competition	0.8437	3	0.0392
akk_GCF_000020225.1	MGYG000000189	1.252524	1.728751	1.077910	1.487754	-0.139410	-0.139406	competition	0.0001	7	0.0170
akk_GCF_000020225.1	MGYG000000190	1.252524	1.320589	1.081790	1.140581	-0.136312	-0.136309	competition	0.6880	4	0.1955
akk_GCF_000020225.1	MGYG000000191	1.252524	2.341584	0.881249	1.647501	-0.296421	-0.296416	competition	0.5254	6	0.1103
akk_GCF_000020225.1	MGYG000000192	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000193	1.252524	1.675473	0.881335	1.178949	-0.296353	-0.296349	competition	0.0910	4	0.1029
akk_GCF_000020225.1	MGYG000000194	1.252524	2.536018	0.961722	1.947240	-0.232172	-0.232166	competition	0.7344	5	0.0474
akk_GCF_000020225.1	MGYG000000195	1.252524	2.100461	0.951027	1.594866	-0.240711	-0.240706	competition	0.0000	4	0.2040
akk_GCF_000020225.1	MGYG000000196	1.252524	2.276100	1.162631	2.112758	-0.071769	-0.071764	competition	0.9260	8	0.0290
akk_GCF_000020225.1	MGYG000000197	1.252524	1.992812	0.899141	1.430576	-0.282137	-0.282132	competition	1.0000	2	0.1045
akk_GCF_000020225.1	MGYG000000198	1.252524	3.684314	0.922589	2.713831	-0.263416	-0.263410	competition	0.2713	7	0.0200
akk_GCF_000020225.1	MGYG000000199	1.252524	1.319758	1.049122	1.105435	-0.162394	-0.162396	competition	-0.0000	2	0.0400
akk_GCF_000020225.1	MGYG000000200	1.252524	2.981277	0.955123	2.273419	-0.237441	-0.237435	competition	0.7309	4	0.0478
akk_GCF_000020225.1	MGYG000000201	1.252524	2.277113	0.892898	1.623319	-0.287121	-0.287115	competition	0.2397	7	0.0566
akk_GCF_000020225.1	MGYG000000202	1.252524	2.448365	1.050772	2.054006	-0.161076	-0.161071	competition	0.0000	4	0.0438
akk_GCF_000020225.1	MGYG000000203	1.252524	1.888333	1.183420	1.784159	-0.055172	-0.055167	competition	0.9543	9	0.0355
akk_GCF_000020225.1	MGYG000000204	1.252524	1.450968	1.065621	1.234457	-0.149221	-0.149218	competition	0.2047	4	0.1546
akk_GCF_000020225.1	MGYG000000205	1.252524	1.814459	0.902991	1.308118	-0.279063	-0.279059	competition	0.8294	7	0.0436
akk_GCF_000020225.1	MGYG000000206	1.252524	2.391426	0.983914	1.878586	-0.214455	-0.214449	competition	0.1368	9	0.0157
akk_GCF_000020225.1	MGYG000000207	1.252524	1.075912	1.001079	0.859919	-0.200750	-0.200754	competition	0.0000	3	0.0410
akk_GCF_000020225.1	MGYG000000208	1.252524	1.783710	0.957596	1.363713	-0.235467	-0.235463	competition	0.3947	6	0.2020
akk_GCF_000020225.1	MGYG000000209	1.252524	1.025287	1.120735	0.917409	-0.105218	-0.105217	competition	-0.0000	3	0.1059
akk_GCF_000020225.1	MGYG000000210	1.252524	1.146776	0.954569	0.873979	-0.237883	-0.237882	competition	0.0000	2	0.0405
akk_GCF_000020225.1	MGYG000000211	1.252524	2.665991	1.049884	2.234689	-0.161785	-0.161779	competition	0.9467	7	0.0265
akk_GCF_000020225.1	MGYG000000212	1.252524	2.263512	0.891156	1.610474	-0.288512	-0.288507	competition	0.7114	6	0.0543
akk_GCF_000020225.1	MGYG000000213	1.252524	2.328745	0.928438	1.726203	-0.258746	-0.258741	competition	0.0649	7	0.0992
