species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.144731	2.543029	0.894359	1.986841	-0.218717	-0.218711	competition	0.1676	5	0.0856
akk_GCF_000020225.1	MGYG000000002	1.144731	1.515032	0.811864	1.074494	-0.290782	-0.290778	competition	0.6652	6	0.1129
akk_GCF_000020225.1	MGYG000000003	1.144731	0.767275	0.753386	0.504965	-0.341867	-0.341873	competition	0.0645	8	0.0935
akk_GCF_000020225.1	MGYG000000004	1.144731	2.195674	0.974088	1.868381	-0.149068	-0.149063	competition	0.9613	5	0.0186
akk_GCF_000020225.1	MGYG000000006	1.144731	2.570426	0.818111	1.837036	-0.285325	-0.285319	competition	0.7268	7	0.1200
akk_GCF_000020225.1	MGYG000000007	1.144731	0.860330	1.024993	0.770336	-0.104599	-0.104604	competition	0.0007	6	0.0219
akk_GCF_000020225.1	MGYG000000008	1.144731	1.077399	1.047958	0.986315	-0.084538	-0.084541	competition	-0.0000	4	0.0235
akk_GCF_000020225.1	MGYG000000009	1.144731	1.848837	0.827757	1.336906	-0.276899	-0.276894	competition	-0.0000	4	0.1610
akk_GCF_000020225.1	MGYG000000010	1.144731	1.832462	0.875842	1.402039	-0.234893	-0.234888	competition	0.8061	9	0.0159
akk_GCF_000020225.1	MGYG000000011	1.144731	2.555363	0.821502	1.833839	-0.282363	-0.282356	competition	0.9084	5	0.0882
akk_GCF_000020225.1	MGYG000000012	1.144731	2.506176	0.874000	1.913475	-0.236502	-0.236496	competition	0.8999	8	0.0723
akk_GCF_000020225.1	MGYG000000013	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.144731	2.720846	0.828448	1.969108	-0.276295	-0.276288	competition	0.9844	5	0.0739
akk_GCF_000020225.1	MGYG000000015	1.144731	3.030909	0.882309	2.336097	-0.229244	-0.229242	competition	0.9678	8	0.0336
akk_GCF_000020225.1	MGYG000000016	1.144731	1.161959	0.788650	0.800522	-0.311061	-0.311059	competition	1.0000	1	0.3120
akk_GCF_000020225.1	MGYG000000017	1.144731	1.983565	0.907513	1.572528	-0.207227	-0.207221	competition	0.8010	3	0.0429
akk_GCF_000020225.1	MGYG000000018	1.144731	1.182444	0.897819	0.927400	-0.215694	-0.215692	competition	0.1576	7	0.1141
akk_GCF_000020225.1	MGYG000000019	1.144731	2.787748	0.938046	2.284428	-0.180554	-0.180547	competition	0.9769	8	0.0264
akk_GCF_000020225.1	MGYG000000020	1.144731	1.120877	0.991871	0.971199	-0.133534	-0.133537	competition	0.4001	5	0.0254
akk_GCF_000020225.1	MGYG000000021	1.144731	0.688151	0.969788	0.582979	-0.152825	-0.152832	competition	0.0021	7	0.0161
akk_GCF_000020225.1	MGYG000000022	1.144731	1.606912	0.956050	1.342057	-0.164826	-0.164822	competition	0.8908	6	0.0724
akk_GCF_000020225.1	MGYG000000023	1.144731	1.761103	0.848326	1.305109	-0.258930	-0.258925	competition	0.3748	2	0.4888
akk_GCF_000020225.1	MGYG000000024	1.144731	3.023488	0.863683	2.281200	-0.245514	-0.245507	competition	0.7147	7	0.0476
akk_GCF_000020225.1	MGYG000000025	1.144731	2.431285	0.851213	1.807886	-0.256409	-0.256407	competition	0.6894	7	0.0254
akk_GCF_000020225.1	MGYG000000026	1.144731	1.570462	0.897775	1.231662	-0.215733	-0.215733	competition	0.0279	3	0.3043
akk_GCF_000020225.1	MGYG000000027	1.144731	2.193643	0.925962	1.774420	-0.191110	-0.191108	competition	0.4802	8	0.0783
akk_GCF_000020225.1	MGYG000000028	1.144731	1.940230	0.901633	1.528208	-0.212363	-0.212357	competition	1.0000	1	0.3320
akk_GCF_000020225.1	MGYG000000029	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	1.144731	1.372079	0.939411	1.125985	-0.179362	-0.179358	competition	0.8869	4	0.1364
akk_GCF_000020225.1	MGYG000000031	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	1.144731	1.100954	0.839374	0.807272	-0.266750	-0.266753	competition	0.0078	5	0.2559
akk_GCF_000020225.1	MGYG000000034	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	1.144731	2.992963	0.851225	2.225595	-0.256398	-0.256391	competition	0.9655	5	0.0474
akk_GCF_000020225.1	MGYG000000036	1.144731	0.709562	0.861283	0.533864	-0.247611	-0.247614	competition	0.0000	5	0.1425
akk_GCF_000020225.1	MGYG000000037	1.144731	2.210181	0.888701	1.715866	-0.223660	-0.223654	competition	0.0966	5	0.0659
akk_GCF_000020225.1	MGYG000000038	1.144731	2.212187	0.830295	1.604544	-0.274681	-0.274680	competition	0.0568	3	0.1530
akk_GCF_000020225.1	MGYG000000039	1.144731	1.887466	0.921307	1.519086	-0.195177	-0.195172	competition	0.9121	7	0.2613
akk_GCF_000020225.1	MGYG000000040	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	1.144731	1.920591	0.933818	1.566737	-0.184247	-0.184242	competition	0.0000	4	0.1497
akk_GCF_000020225.1	MGYG000000042	1.144731	1.718540	0.760049	1.141039	-0.336046	-0.336042	competition	0.3950	5	0.1568
akk_GCF_000020225.1	MGYG000000043	1.144731	1.869656	0.781195	1.275911	-0.317574	-0.317569	competition	0.6361	7	0.0867
akk_GCF_000020225.1	MGYG000000044	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000045	1.144731	1.524313	0.876637	1.167321	-0.234198	-0.234199	competition	0.0442	4	0.3709
akk_GCF_000020225.1	MGYG000000046	1.144731	1.596916	0.913294	1.274065	-0.202176	-0.202172	competition	0.7593	8	0.0156
akk_GCF_000020225.1	MGYG000000047	1.144731	2.794132	0.959961	2.343152	-0.161409	-0.161402	competition	0.0319	6	0.0132
akk_GCF_000020225.1	MGYG000000048	1.144731	1.446372	0.853899	1.078910	-0.254061	-0.254058	competition	-0.0000	3	0.1770
akk_GCF_000020225.1	MGYG000000049	1.144731	2.936750	0.878211	2.253025	-0.232824	-0.232817	competition	0.7162	6	0.0525
akk_GCF_000020225.1	MGYG000000050	1.144731	1.438841	0.843054	1.059661	-0.263536	-0.263532	competition	0.5662	7	0.0818
akk_GCF_000020225.1	MGYG000000051	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000052	1.144731	2.299843	0.908369	1.824989	-0.206478	-0.206473	competition	0.1661	9	0.0170
akk_GCF_000020225.1	MGYG000000053	1.144731	0.603941	0.818206	0.431666	-0.285242	-0.285251	competition	0.4187	7	0.0652
akk_GCF_000020225.1	MGYG000000054	1.144731	2.499963	0.846718	1.849139	-0.260335	-0.260334	competition	0.8292	5	0.0187
akk_GCF_000020225.1	MGYG000000055	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000056	1.144731	0.815348	0.732003	0.521373	-0.360546	-0.360551	competition	0.1323	5	0.0286
akk_GCF_000020225.1	MGYG000000057	1.144731	1.883792	0.788630	1.297795	-0.311078	-0.311073	competition	0.0517	3	0.1299
akk_GCF_000020225.1	MGYG000000058	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000059	1.144731	0.989840	0.823103	0.711732	-0.280964	-0.280963	competition	0.3650	9	0.0346
akk_GCF_000020225.1	MGYG000000060	1.144731	1.407703	0.883683	1.086691	-0.228043	-0.228040	competition	0.9103	4	0.1661
akk_GCF_000020225.1	MGYG000000061	1.144731	1.138900	0.950877	0.946035	-0.169345	-0.169343	competition	0.0000	3	0.0521
akk_GCF_000020225.1	MGYG000000062	1.144731	1.358830	1.011824	1.201070	-0.116104	-0.116100	competition	0.3496	6	0.0480
akk_GCF_000020225.1	MGYG000000063	1.144731	0.973396	1.063784	0.904566	-0.070713	-0.070712	competition	0.5248	7	0.0129
akk_GCF_000020225.1	MGYG000000064	1.144731	1.946461	0.860976	1.463984	-0.247879	-0.247874	competition	0.0108	3	0.2937
akk_GCF_000020225.1	MGYG000000065	1.144731	2.005166	0.902780	1.581354	-0.211361	-0.211360	competition	0.8431	9	0.0126
akk_GCF_000020225.1	MGYG000000067	1.144731	1.985185	0.878818	1.524050	-0.232294	-0.232288	competition	0.0004	5	0.0995
akk_GCF_000020225.1	MGYG000000068	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000069	1.144731	1.497246	0.934726	1.222576	-0.183454	-0.183450	competition	0.0000	7	0.1659
akk_GCF_000020225.1	MGYG000000070	1.144731	1.503130	0.819932	1.076647	-0.283734	-0.283730	competition	0.8045	8	0.0529
akk_GCF_000020225.1	MGYG000000071	1.144731	2.445944	0.945670	2.020626	-0.173893	-0.173887	competition	0.1845	5	0.1002
akk_GCF_000020225.1	MGYG000000072	1.144731	0.991590	1.002531	0.868414	-0.124221	-0.124220	competition	0.0116	6	0.0394
akk_GCF_000020225.1	MGYG000000073	1.144731	1.674882	0.942920	1.379615	-0.176296	-0.176291	competition	0.0112	7	0.0399
akk_GCF_000020225.1	MGYG000000074	1.144731	0.999141	0.785389	0.685497	-0.313910	-0.313913	competition	0.9877	8	0.0154
akk_GCF_000020225.1	MGYG000000075	1.144731	2.796431	0.833266	2.035580	-0.272086	-0.272079	competition	0.2912	7	0.1085
akk_GCF_000020225.1	MGYG000000076	1.144731	1.845440	0.910317	1.467546	-0.204776	-0.204772	competition	0.9034	5	0.0579
akk_GCF_000020225.1	MGYG000000077	1.144731	1.121214	0.900581	0.882082	-0.213282	-0.213280	competition	0.7248	8	0.0532
akk_GCF_000020225.1	MGYG000000078	1.144731	1.001525	0.816742	0.714563	-0.286521	-0.286524	competition	-0.0000	3	0.1906
akk_GCF_000020225.1	MGYG000000079	1.144731	2.284742	0.862436	1.721329	-0.246604	-0.246598	competition	0.3885	6	0.0754
akk_GCF_000020225.1	MGYG000000080	1.144731	2.159902	0.891661	1.682416	-0.221074	-0.221068	competition	0.0605	7	0.0217
akk_GCF_000020225.1	MGYG000000081	1.144731	1.089394	0.947219	0.901427	-0.172540	-0.172543	competition	0.5987	5	0.0300
akk_GCF_000020225.1	MGYG000000082	1.144731	0.642744	0.894326	0.502144	-0.218746	-0.218750	competition	0.2489	5	0.0716
akk_GCF_000020225.1	MGYG000000083	1.144731	1.968907	0.894219	1.538042	-0.218840	-0.218834	competition	0.9489	7	0.0238
akk_GCF_000020225.1	MGYG000000084	1.144731	1.800482	0.951294	1.496243	-0.168981	-0.168976	competition	0.9304	6	0.0853
akk_GCF_000020225.1	MGYG000000085	1.144731	2.001303	0.903168	1.578995	-0.211022	-0.211017	competition	0.7771	3	0.1531
akk_GCF_000020225.1	MGYG000000086	1.144731	1.449735	0.817764	1.035656	-0.285628	-0.285624	competition	0.6275	6	0.0818
akk_GCF_000020225.1	MGYG000000087	1.144731	1.611864	0.821042	1.156094	-0.282764	-0.282760	competition	0.7094	7	0.0510
akk_GCF_000020225.1	MGYG000000088	1.144731	1.538988	0.892114	1.199367	-0.220678	-0.220678	competition	0.0112	4	0.1693
akk_GCF_000020225.1	MGYG000000089	1.144731	0.843586	0.890450	0.656199	-0.222132	-0.222132	competition	0.0009	2	0.0681
akk_GCF_000020225.1	MGYG000000090	1.144731	1.098616	0.920998	0.883898	-0.195446	-0.195444	competition	0.9414	7	0.0477
akk_GCF_000020225.1	MGYG000000091	1.144731	1.107944	0.834644	0.807824	-0.270883	-0.270881	competition	0.8587	5	0.0542
akk_GCF_000020225.1	MGYG000000092	1.144731	1.989884	0.850818	1.478986	-0.256753	-0.256748	competition	0.1520	7	0.0873
akk_GCF_000020225.1	MGYG000000093	1.144731	3.232752	0.848595	2.396462	-0.258695	-0.258693	competition	0.9648	7	0.0352
akk_GCF_000020225.1	MGYG000000094	1.144731	1.450662	0.920567	1.166589	-0.195822	-0.195823	competition	0.1532	5	0.2172
akk_GCF_000020225.1	MGYG000000096	1.144731	1.456261	0.946387	1.203938	-0.173267	-0.173268	competition	0.3318	8	0.0448
akk_GCF_000020225.1	MGYG000000097	1.144731	1.751507	0.855397	1.308816	-0.252753	-0.252749	competition	-0.0000	3	0.2007
akk_GCF_000020225.1	MGYG000000098	1.144731	1.662585	0.948147	1.377070	-0.171729	-0.171729	competition	0.4117	8	0.0266
akk_GCF_000020225.1	MGYG000000099	1.144731	1.605385	0.960783	1.347420	-0.160692	-0.160687	competition	1.0000	4	0.0171
akk_GCF_000020225.1	MGYG000000100	1.144731	1.147671	1.008242	1.010834	-0.119233	-0.119230	competition	0.9828	10	0.0144
akk_GCF_000020225.1	MGYG000000101	1.144731	0.805174	0.839102	0.590197	-0.266988	-0.266994	competition	0.5604	7	0.0246
akk_GCF_000020225.1	MGYG000000102	1.144731	2.759846	0.868678	2.094325	-0.241151	-0.241144	competition	0.4240	9	0.0533
akk_GCF_000020225.1	MGYG000000103	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000104	1.144731	1.870027	0.895249	1.462483	-0.217940	-0.217935	competition	-0.0000	1	0.2853
akk_GCF_000020225.1	MGYG000000105	1.144731	2.354432	0.826482	1.699886	-0.278012	-0.278006	competition	0.7394	8	0.0174
akk_GCF_000020225.1	MGYG000000106	1.144731	1.760391	0.847831	1.303820	-0.259362	-0.259358	competition	0.9999	2	0.3963
akk_GCF_000020225.1	MGYG000000107	1.144731	3.233005	0.848722	2.397008	-0.258584	-0.258582	competition	0.9674	8	0.0329
akk_GCF_000020225.1	MGYG000000108	1.144731	3.360189	0.863399	2.534384	-0.245763	-0.245761	competition	0.9175	9	0.0296
akk_GCF_000020225.1	MGYG000000109	1.144731	1.283451	0.982682	1.101762	-0.141561	-0.141563	competition	0.0000	2	0.0550
akk_GCF_000020225.1	MGYG000000110	1.144731	2.813545	0.923634	2.270145	-0.193144	-0.193137	competition	0.9587	8	0.0587
akk_GCF_000020225.1	MGYG000000111	1.144731	2.295770	0.830546	1.665682	-0.274462	-0.274456	competition	0.7457	5	0.1159
akk_GCF_000020225.1	MGYG000000112	1.144731	1.758641	0.831882	1.278014	-0.273295	-0.273295	competition	0.2806	3	0.1040
akk_GCF_000020225.1	MGYG000000113	1.144731	1.667734	0.876212	1.276541	-0.234570	-0.234566	competition	1.0000	2	0.3436
akk_GCF_000020225.1	MGYG000000114	1.144731	1.292134	0.982584	1.109106	-0.141646	-0.141648	competition	0.0004	3	0.0716
akk_GCF_000020225.1	MGYG000000115	1.144731	1.367527	1.015794	1.213499	-0.112636	-0.112632	competition	0.9672	5	0.0210
akk_GCF_000020225.1	MGYG000000116	1.144731	2.154438	0.891641	1.678121	-0.221092	-0.221086	competition	0.7316	5	0.0505
akk_GCF_000020225.1	MGYG000000117	1.144731	1.173701	0.961085	0.985405	-0.160428	-0.160429	competition	0.5652	8	0.0209
akk_GCF_000020225.1	MGYG000000118	1.144731	1.042471	0.901133	0.820636	-0.212799	-0.212798	competition	0.5220	8	0.0957
akk_GCF_000020225.1	MGYG000000119	1.144731	2.155533	0.829990	1.562886	-0.274948	-0.274942	competition	0.5987	6	0.1645
akk_GCF_000020225.1	MGYG000000120	1.144731	0.409720	1.015891	0.363601	-0.112551	-0.112562	competition	0.8510	7	0.0277
akk_GCF_000020225.1	MGYG000000121	1.144731	2.407816	0.882049	1.855297	-0.229470	-0.229469	competition	0.0234	8	0.0115
akk_GCF_000020225.1	MGYG000000122	1.144731	2.136954	0.884173	1.650562	-0.227615	-0.227610	competition	0.8482	6	0.1572
akk_GCF_000020225.1	MGYG000000123	1.144731	2.826321	0.818566	2.021044	-0.284927	-0.284920	competition	0.8988	5	0.0538
akk_GCF_000020225.1	MGYG000000124	1.144731	3.279717	0.853929	2.446559	-0.254035	-0.254033	competition	0.9493	7	0.0344
akk_GCF_000020225.1	MGYG000000125	1.144731	1.406898	0.845622	1.039291	-0.261292	-0.261289	competition	0.7986	10	0.0129
akk_GCF_000020225.1	MGYG000000126	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000127	1.144731	3.078623	0.889147	2.391265	-0.223270	-0.223268	competition	0.9711	9	0.0122
akk_GCF_000020225.1	MGYG000000128	1.144731	0.612898	1.120294	0.599811	-0.021348	-0.021352	competition	1.0000	5	0.0160
akk_GCF_000020225.1	MGYG000000129	1.144731	0.396615	1.101742	0.381716	-0.037554	-0.037566	competition	0.0022	8	0.0300
akk_GCF_000020225.1	MGYG000000130	1.144731	0.263686	1.043072	0.240263	-0.088806	-0.088829	competition	0.4762	8	0.0169
akk_GCF_000020225.1	MGYG000000131	1.144731	1.535589	0.898543	1.205348	-0.215063	-0.215058	competition	0.7828	5	0.0410
akk_GCF_000020225.1	MGYG000000132	1.144731	1.843455	0.920991	1.483156	-0.195453	-0.195447	competition	0.0103	8	0.0611
akk_GCF_000020225.1	MGYG000000133	1.144731	2.545497	0.923806	2.054249	-0.192993	-0.192987	competition	0.3734	5	0.0629
akk_GCF_000020225.1	MGYG000000134	1.144731	2.070637	0.929818	1.681904	-0.187741	-0.187736	competition	0.0042	6	0.0630
akk_GCF_000020225.1	MGYG000000135	1.144731	2.094562	0.845644	1.547322	-0.261273	-0.261267	competition	0.1348	6	0.0530
akk_GCF_000020225.1	MGYG000000136	1.144731	1.549901	0.862508	1.167793	-0.246541	-0.246537	competition	0.7742	5	0.0693
akk_GCF_000020225.1	MGYG000000137	1.144731	2.021319	0.895043	1.580442	-0.218119	-0.218114	competition	0.4573	9	0.0937
akk_GCF_000020225.1	MGYG000000138	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000139	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000140	1.144731	1.606157	0.897422	1.259167	-0.216042	-0.216037	competition	0.3201	5	0.1253
akk_GCF_000020225.1	MGYG000000141	1.144731	2.085490	0.876563	1.596948	-0.234263	-0.234258	competition	0.6430	9	0.0554
akk_GCF_000020225.1	MGYG000000142	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000143	1.144731	2.413212	0.962570	2.029212	-0.159130	-0.159124	competition	0.4565	9	0.0571
akk_GCF_000020225.1	MGYG000000144	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000145	1.144731	2.787944	0.919931	2.240470	-0.196379	-0.196372	competition	0.5780	5	0.0727
akk_GCF_000020225.1	MGYG000000146	1.144731	1.873093	0.795195	1.301166	-0.305343	-0.305338	competition	0.6038	5	0.0610
akk_GCF_000020225.1	MGYG000000147	1.144731	2.598511	0.830113	1.884351	-0.274840	-0.274834	competition	0.4818	7	0.0793
akk_GCF_000020225.1	MGYG000000148	1.144731	2.585499	0.942494	2.128740	-0.176668	-0.176662	competition	0.7458	7	0.0420
akk_GCF_000020225.1	MGYG000000149	1.144731	2.182063	0.829222	1.580657	-0.275619	-0.275613	competition	0.0917	3	0.1686
akk_GCF_000020225.1	MGYG000000151	1.144731	1.975437	0.900499	1.553981	-0.213354	-0.213348	competition	1.0000	3	0.2676
akk_GCF_000020225.1	MGYG000000152	1.144731	3.184200	0.917827	2.553063	-0.198216	-0.198209	competition	0.0132	9	0.0111
akk_GCF_000020225.1	MGYG000000153	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000154	1.144731	1.639422	0.891780	1.277166	-0.220970	-0.220966	competition	0.8628	7	0.2210
akk_GCF_000020225.1	MGYG000000155	1.144731	1.404308	0.945756	1.160213	-0.173818	-0.173819	competition	0.1813	9	0.0342
akk_GCF_000020225.1	MGYG000000156	1.144731	1.397180	0.899743	1.098169	-0.214014	-0.214010	competition	0.0000	4	0.2090
akk_GCF_000020225.1	MGYG000000157	1.144731	2.912796	0.846148	2.153065	-0.260832	-0.260825	competition	0.7500	6	0.0461
akk_GCF_000020225.1	MGYG000000158	1.144731	1.171658	0.982779	1.005894	-0.141477	-0.141479	competition	0.0000	2	0.0597
akk_GCF_000020225.1	MGYG000000159	1.144731	2.057893	0.898322	1.614933	-0.215255	-0.215249	competition	0.8591	5	0.0670
akk_GCF_000020225.1	MGYG000000160	1.144731	1.297948	0.867670	0.983808	-0.242032	-0.242029	competition	-0.0000	3	0.2095
akk_GCF_000020225.1	MGYG000000161	1.144731	1.067172	1.072049	0.999411	-0.063493	-0.063496	competition	0.0014	5	0.0221
akk_GCF_000020225.1	MGYG000000163	1.144731	1.596352	0.858983	1.197871	-0.249620	-0.249620	competition	0.2967	4	0.1131
akk_GCF_000020225.1	MGYG000000164	1.144731	1.432344	0.903645	1.130690	-0.210605	-0.210602	competition	0.8478	6	0.0108
akk_GCF_000020225.1	MGYG000000165	1.144731	2.319533	0.817839	1.657175	-0.285563	-0.285557	competition	0.0474	8	0.0146
akk_GCF_000020225.1	MGYG000000166	1.144731	0.469445	0.981118	0.402342	-0.142927	-0.142942	competition	0.2816	8	0.0186
akk_GCF_000020225.1	MGYG000000167	1.144731	1.146745	0.950248	0.951921	-0.169895	-0.169893	competition	0.0000	2	0.0547
akk_GCF_000020225.1	MGYG000000168	1.144731	2.042953	1.024808	1.828943	-0.104761	-0.104755	competition	0.9343	11	0.0403
akk_GCF_000020225.1	MGYG000000169	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000170	1.144731	0.739427	0.944314	0.609965	-0.175078	-0.175085	competition	0.3719	7	0.0436
akk_GCF_000020225.1	MGYG000000171	1.144731	2.099655	0.848190	1.555752	-0.259049	-0.259044	competition	0.8905	7	0.0496
akk_GCF_000020225.1	MGYG000000173	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000174	1.144731	2.276100	1.091273	2.169821	-0.046699	-0.046693	competition	0.9665	7	0.0359
akk_GCF_000020225.1	MGYG000000175	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000176	1.144731	3.095995	0.844034	2.282763	-0.262679	-0.262672	competition	0.5992	6	0.0656
akk_GCF_000020225.1	MGYG000000177	1.144731	0.561834	0.825293	0.405050	-0.279051	-0.279057	competition	1.0000	2	0.1242
akk_GCF_000020225.1	MGYG000000178	1.144731	1.853109	0.894046	1.447304	-0.218991	-0.218986	competition	0.9402	8	0.0508
akk_GCF_000020225.1	MGYG000000180	1.144731	1.081441	1.005814	0.950202	-0.121353	-0.121356	competition	0.0000	3	0.0430
akk_GCF_000020225.1	MGYG000000181	1.144731	1.497919	0.931777	1.219267	-0.186030	-0.186026	competition	0.0004	3	0.0746
akk_GCF_000020225.1	MGYG000000182	1.144731	2.276100	0.895965	1.781485	-0.217314	-0.217308	competition	0.6072	6	0.0723
akk_GCF_000020225.1	MGYG000000183	1.144731	1.709461	1.097416	1.638812	-0.041333	-0.041329	competition	0.8693	10	0.0339
akk_GCF_000020225.1	MGYG000000184	1.144731	2.304359	0.858977	1.729145	-0.249626	-0.249620	competition	0.5269	6	0.0846
akk_GCF_000020225.1	MGYG000000186	1.144731	1.807444	0.912839	1.441305	-0.202573	-0.202573	competition	0.4393	8	0.1258
akk_GCF_000020225.1	MGYG000000187	1.144731	1.348651	0.897046	1.056843	-0.216370	-0.216371	competition	0.9271	6	0.3167
akk_GCF_000020225.1	MGYG000000188	1.144731	1.930088	0.913656	1.540491	-0.201860	-0.201855	competition	0.8061	4	0.0430
akk_GCF_000020225.1	MGYG000000189	1.144731	1.521121	0.917586	1.219297	-0.198426	-0.198423	competition	0.0066	9	0.0164
akk_GCF_000020225.1	MGYG000000190	1.144731	1.143879	0.909844	0.909169	-0.205190	-0.205188	competition	0.3159	4	0.1343
akk_GCF_000020225.1	MGYG000000191	1.144731	2.137173	0.843748	1.575259	-0.262930	-0.262924	competition	0.8631	6	0.1001
akk_GCF_000020225.1	MGYG000000192	1.144731	-0.000000	1.144731	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000193	1.144731	1.524107	0.860095	1.145138	-0.248650	-0.248650	competition	0.0000	2	0.0952
akk_GCF_000020225.1	MGYG000000194	1.144731	2.536018	0.931886	2.064500	-0.185935	-0.185928	competition	0.6765	4	0.0557
akk_GCF_000020225.1	MGYG000000195	1.144731	1.925799	0.922737	1.552345	-0.193927	-0.193922	competition	0.9369	4	0.2201
akk_GCF_000020225.1	MGYG000000196	1.144731	2.276100	1.054841	2.097371	-0.078525	-0.078524	competition	0.9062	7	0.0180
akk_GCF_000020225.1	MGYG000000197	1.144731	1.992812	0.894356	1.556956	-0.218719	-0.218714	competition	0.6110	3	0.1026
akk_GCF_000020225.1	MGYG000000198	1.144731	3.445010	0.870841	2.620775	-0.239262	-0.239255	competition	0.2395	7	0.0181
akk_GCF_000020225.1	MGYG000000199	1.144731	1.211581	1.012725	1.071863	-0.115316	-0.115318	competition	-0.0000	3	0.0336
akk_GCF_000020225.1	MGYG000000200	1.144731	2.747490	0.905874	2.174222	-0.208658	-0.208652	competition	0.6788	6	0.0520
akk_GCF_000020225.1	MGYG000000201	1.144731	2.078727	0.844064	1.532754	-0.262654	-0.262648	competition	0.3383	7	0.0927
akk_GCF_000020225.1	MGYG000000202	1.144731	2.224149	0.891133	1.731434	-0.221535	-0.221530	competition	0.0000	3	0.0598
akk_GCF_000020225.1	MGYG000000203	1.144731	1.639344	1.130745	1.619322	-0.012218	-0.012214	competition	0.8680	9	0.0405
akk_GCF_000020225.1	MGYG000000204	1.144731	1.450968	0.919264	1.165189	-0.196961	-0.196957	competition	0.6091	4	0.2099
akk_GCF_000020225.1	MGYG000000205	1.144731	1.814459	0.892047	1.413949	-0.220737	-0.220732	competition	0.9310	8	0.0465
akk_GCF_000020225.1	MGYG000000206	1.144731	2.391426	0.960907	2.007417	-0.160583	-0.160577	competition	0.1062	9	0.0150
akk_GCF_000020225.1	MGYG000000207	1.144731	1.075912	1.002964	0.942664	-0.123844	-0.123846	competition	0.0000	3	0.0427
akk_GCF_000020225.1	MGYG000000208	1.144731	1.783710	0.947699	1.476705	-0.172121	-0.172116	competition	0.1257	6	0.0676
akk_GCF_000020225.1	MGYG000000209	1.144731	0.819889	0.940256	0.673437	-0.178623	-0.178624	competition	-0.0000	3	0.1044
akk_GCF_000020225.1	MGYG000000210	1.144731	1.146776	0.950247	0.951947	-0.169895	-0.169893	competition	0.0000	2	0.0555
akk_GCF_000020225.1	MGYG000000211	1.144731	2.440831	0.974593	2.078072	-0.148627	-0.148621	competition	0.9836	7	0.0338
akk_GCF_000020225.1	MGYG000000212	1.144731	2.064357	0.853766	1.539654	-0.254178	-0.254173	competition	0.1551	7	0.0885
akk_GCF_000020225.1	MGYG000000213	1.144731	2.131321	0.891803	1.660417	-0.220950	-0.220945	competition	0.3819	6	0.1751
